date,natal_planet,transiting_planet,aspect,orb,natal_longitude,transit_longitude
2024-02-23,Jupiter,Pluto,Conjunction,1.48,299.5608,301.0387945528723
2024-02-23,Saturn,Moon,Semi-Sextile,1.48,171.7586,143.23602922234355
2024-02-23,Saturn,Venus,Sesquiquadrate,1.69,171.7586,308.44889497024485
2024-02-23,Saturn,Mars,Sesquiquadrate,1.13,171.7586,307.89119411562996
2024-02-23,Saturn,Uranus,Trine,2.35,171.7586,49.410920967657454
2024-02-23,Neptune,Moon,Opposition,0.72,322.517,143.23602922234355
2024-02-23,Pluto,Sun,Sextile,3.0,271.3559,334.3568685512702
2024-02-23,Pluto,Mercury,Sextile,1.02,271.3559,330.3374582784357
2024-02-23,North Node (Mean),Venus,Conjunction,2.37,310.8165,308.44889497024485
2024-02-23,North Node (Mean),Mars,Conjunction,2.93,310.8165,307.89119411562996
2024-02-23,North Node (Mean),Jupiter,Square,0.57,310.8165,40.24607643408509
2024-02-23,North Node (Mean),Saturn,Semi-Sextile,1.7,310.8165,339.1199474013687
2024-02-23,North Node (Mean),Neptune,Semi-Square,0.69,310.8165,356.505098665546
2024-02-24,Sun,Neptune,Quintile,1.03,283.5142,356.54083619760155
2024-02-24,Moon,Sun,Semi-Sextile,0.81,4.5532,335.3631302301159
2024-02-24,Moon,Uranus,Semi-Square,0.12,4.5532,49.43466065277789
2024-02-24,Mercury,Pluto,Conjunction,1.73,302.7943,301.06679619355657
2024-02-24,Venus,Mercury,Conjunction,1.88,330.2555,332.13924466208863
2024-02-24,Venus,Jupiter,Quintile,1.85,330.2555,40.404961835881444
2024-02-24,Venus,Pluto,Semi-Sextile,0.81,330.2555,301.06679619355657
2024-02-24,Mars,Sun,Sextile,0.24,275.6008,335.3631302301159
2024-02-24,Mars,Moon,Trine,0.47,275.6008,155.13343442896476
2024-02-24,Mars,Uranus,Sesquiquadrate,1.17,275.6008,49.43466065277789
2024-02-24,Jupiter,Moon,Bi-Quintile,0.43,299.5608,155.13343442896476
2024-02-24,Jupiter,Pluto,Conjunction,1.51,299.5608,301.06679619355657
2024-02-24,Saturn,Mars,Sesquiquadrate,1.9,171.7586,308.6634413421492
2024-02-24,Saturn,Uranus,Trine,2.32,171.7586,49.43466065277789
2024-02-24,Pluto,Mercury,Sextile,0.78,271.3559,332.13924466208863
2024-02-24,North Node (Mean),Venus,Conjunction,1.13,310.8165,309.68624249185757
2024-02-24,North Node (Mean),Mars,Conjunction,2.15,310.8165,308.6634413421492
